# NodeID     Time    X   Y  
0 0.0 300.0 100.0
0 0.1 301.5 100.0
0 0.2 303.0 100.0
0 0.3 304.5 100.0
0 0.4 306.0 100.0
0 0.5 307.5 100.0
0 0.6 309.0 100.0
0 0.7 310.5 100.0
0 0.8 312.0 100.0
0 0.9 313.5 100.0
0 1.0 315.0 100.0
0 1.1 316.5 100.0
0 1.2 318.0 100.0
0 1.3 319.5 100.0
0 1.4 321.0 100.0
0 1.5 322.5 100.0
0 1.6 324.0 100.0
0 1.7 325.5 100.0
0 1.8 327.0 100.0
0 1.9 328.5 100.0
0 2.0 330.0 100.0
0 2.1 331.5 100.0
0 2.2 333.0 100.0
0 2.3 334.5 100.0
0 2.4 336.0 100.0
0 2.5 337.5 100.0
0 2.6 339.0 100.0
0 2.7 340.5 100.0
0 2.8 342.0 100.0
0 2.9 343.5 100.0
0 3.0 345.0 100.0
0 3.1 346.5 100.0
0 3.2 348.0 100.0
0 3.3 349.5 100.0
0 3.4 351.0 100.0
0 3.5 352.5 100.0
0 3.6 354.0 100.0
0 3.7 355.5 100.0
0 3.8 357.0 100.0
0 3.9 358.5 100.0
0 4.0 360.0 100.0
0 4.1 361.5 100.0
0 4.2 363.0 100.0
0 4.3 364.5 100.0
0 4.4 366.0 100.0
0 4.5 367.5 100.0
0 4.6 369.0 100.0
0 4.7 370.5 100.0
0 4.8 372.0 100.0
0 4.9 373.5 100.0
0 5.0 375.0 100.0
0 5.1 376.5 100.0
0 5.2 378.0 100.0
0 5.3 379.5 100.0
0 5.4 381.0 100.0
0 5.5 382.5 100.0
0 5.6 384.0 100.0
0 5.7 385.5 100.0
0 5.8 387.0 100.0
0 5.9 388.5 100.0
0 6.0 390.0 100.0
0 6.1 391.5 100.0
0 6.2 393.0 100.0
0 6.3 394.5 100.0
0 6.4 396.0 100.0
0 6.5 397.5 100.0
0 6.6 399.0 100.0
0 6.7 400.5 100.0
0 6.8 402.0 100.0
0 6.9 403.5 100.0
0 7.0 405.0 100.0
0 7.1 406.5 100.0
0 7.2 408.0 100.0
0 7.3 409.5 100.0
0 7.4 411.0 100.0
0 7.5 412.5 100.0
0 7.6 414.0 100.0
0 7.7 415.5 100.0
0 7.8 417.0 100.0
0 7.9 418.5 100.0
0 8.0 420.0 100.0
0 8.1 421.5 100.0
0 8.2 423.0 100.0
0 8.3 424.5 100.0
0 8.4 426.0 100.0
0 8.5 427.5 100.0
0 8.6 429.0 100.0
0 8.7 430.5 100.0
0 8.8 432.0 100.0
0 8.9 433.5 100.0
0 9.0 435.0 100.0
0 9.1 436.5 100.0
0 9.2 438.0 100.0
0 9.3 439.5 100.0
0 9.4 441.0 100.0
0 9.5 442.5 100.0
0 9.6 444.0 100.0
0 9.7 445.5 100.0
0 9.8 447.0 100.0
0 9.9 448.5 100.0
0 10.0 450.0 100.0
0 10.1 451.5 100.0
0 10.2 453.0 100.0
0 10.3 454.5 100.0
0 10.4 456.0 100.0
0 10.5 457.5 100.0
0 10.6 459.0 100.0
0 10.7 460.5 100.0
0 10.8 462.0 100.0
0 10.9 463.5 100.0
0 11.0 465.0 100.0
0 11.1 466.5 100.0
0 11.2 468.0 100.0
0 11.3 469.5 100.0
